ProductID,Tier,TierLabel
IXI-866-QR3,1,Mid Performer / Stable
IXJ-776-WY0,1,Mid Performer / Stable
VJW-910-PQ0,1,Mid Performer / Stable
IXL-940-SI6,1,Mid Performer / Stable
DVI-538-OG6,1,Mid Performer / Stable
VKC-087-XS6,1,Mid Performer / Stable
IXN-876-WD8,1,Mid Performer / Stable
PGY-080-SO6,1,Mid Performer / Stable
IXP-650-WF2,1,Mid Performer / Stable
VKH-722-MG2,1,Mid Performer / Stable
IXS-226-BO4,1,Mid Performer / Stable
PGA-639-LP8,1,Mid Performer / Stable
DUH-813-SO1,1,Mid Performer / Stable
IYJ-183-HC4,1,Mid Performer / Stable
IZI-812-BA9,1,Mid Performer / Stable
PEW-031-DG5,1,Mid Performer / Stable
PES-647-RZ1,1,Mid Performer / Stable
VND-735-FT3,1,Mid Performer / Stable
DSW-296-TY6,1,Mid Performer / Stable
DSV-728-HO9,1,Mid Performer / Stable
VNF-534-QK3,1,Mid Performer / Stable
VNF-619-CF8,1,Mid Performer / Stable
VNH-877-PW3,1,Mid Performer / Stable
VNJ-236-QE9,1,Mid Performer / Stable
DSR-021-HH3,1,Mid Performer / Stable
PEI-544-FG2,1,Mid Performer / Stable
DSP-494-XP5,1,Mid Performer / Stable
IZU-533-EZ5,1,Mid Performer / Stable
PEF-934-GJ0,1,Mid Performer / Stable
IZV-920-LQ1,1,Mid Performer / Stable
DSM-357-MR3,1,Mid Performer / Stable
VNR-204-TE4,1,Mid Performer / Stable
PEE-414-FY4,1,Mid Performer / Stable
VNR-391-OC7,1,Mid Performer / Stable
VNS-647-KA6,1,Mid Performer / Stable
VMP-856-DA9,1,Mid Performer / Stable
VMO-000-DG0,1,Mid Performer / Stable
VML-786-NA8,1,Mid Performer / Stable
IZF-334-XI3,1,Mid Performer / Stable
IYL-637-PY7,1,Mid Performer / Stable
VLI-862-UB3,1,Mid Performer / Stable
DUF-826-KZ1,1,Mid Performer / Stable
VLK-997-YQ3,1,Mid Performer / Stable
DUC-847-JT7,1,Mid Performer / Stable
IYO-698-DZ4,1,Mid Performer / Stable
VLN-975-XJ3,1,Mid Performer / Stable
DTZ-075-AV6,1,Mid Performer / Stable
IYS-186-JW7,1,Mid Performer / Stable
PFP-250-WQ1,1,Mid Performer / Stable
JCX-716-YG3,1,Mid Performer / Stable
VLR-791-RE4,1,Mid Performer / Stable
DTO-973-BU6,1,Mid Performer / Stable
IYY-407-ZV1,1,Mid Performer / Stable
DTM-044-HF4,1,Mid Performer / Stable
DTL-918-DB8,1,Mid Performer / Stable
VMB-370-SB4,1,Mid Performer / Stable
DTJ-663-MF5,1,Mid Performer / Stable
VMC-226-VN4,1,Mid Performer / Stable
PFI-352-RH6,1,Mid Performer / Stable
VMF-279-ED8,1,Mid Performer / Stable
DTG-703-QH2,1,Mid Performer / Stable
DTP-272-EA3,1,Mid Performer / Stable
DOS-781-KL1,1,Mid Performer / Stable
VRX-327-YJ1,1,Mid Performer / Stable
PBA-764-YT3,1,Mid Performer / Stable
JGQ-590-EA2,1,Mid Performer / Stable
VXO-934-CJ8,1,Mid Performer / Stable
VXP-159-LJ0,1,Mid Performer / Stable
VXR-017-EG8,1,Mid Performer / Stable
DJJ-709-RI2,1,Mid Performer / Stable
JGU-440-GF9,1,Mid Performer / Stable
OWP-356-FE2,1,Mid Performer / Stable
VXT-253-XF8,1,Mid Performer / Stable
DJH-409-ZD7,1,Mid Performer / Stable
DJG-572-IB8,1,Mid Performer / Stable
VXX-380-EK5,1,Mid Performer / Stable
VXX-465-VK9,1,Mid Performer / Stable
VYA-860-CD6,1,Mid Performer / Stable
JGZ-035-NC8,1,Mid Performer / Stable
DIZ-778-SG3,1,Mid Performer / Stable
VYN-164-LG6,1,Mid Performer / Stable
JHB-435-KX4,1,Mid Performer / Stable
VYS-501-RK7,1,Mid Performer / Stable
VYS-581-YR8,1,Mid Performer / Stable
DIX-283-VW2,1,Mid Performer / Stable
VYU-318-EZ4,1,Mid Performer / Stable
VXM-806-OL1,1,Mid Performer / Stable
VYW-250-AQ7,1,Mid Performer / Stable
DJN-848-XZ0,1,Mid Performer / Stable
OWX-550-KF7,1,Mid Performer / Stable
VWR-825-ZG5,1,Mid Performer / Stable
DKI-065-IG7,1,Mid Performer / Stable
DKG-923-BA5,1,Mid Performer / Stable
OXK-240-XM2,1,Mid Performer / Stable
DKE-516-HO2,1,Mid Performer / Stable
DKC-289-IQ9,1,Mid Performer / Stable
OXH-043-YP7,1,Mid Performer / Stable
DKB-724-BL2,1,Mid Performer / Stable
VXA-417-IC7,1,Mid Performer / Stable
JGC-318-QD4,1,Mid Performer / Stable
JGD-744-MI6,1,Mid Performer / Stable
VXB-960-QJ8,1,Mid Performer / Stable
VXC-109-WI3,1,Mid Performer / Stable
