CustomerID,ExtPrice_sum,ExtPrice_mean,ExtPrice_std,ExtPrice_count,ExtPrice_median,ExtPrice_min,ExtPrice_max,ExtCost_sum,ExtCost_mean,ExtCost_std,ExtCost_median,SalesQty_sum,SalesQty_mean,SalesQty_std,SalesQty_median,SalesQty_min,SalesQty_max,UnitPrice_mean_x,UnitPrice_std_x,UnitPrice_min_x,UnitPrice_max_x,UnitPrice_median,UnitCost_mean,UnitCost_std,UnitCost_median,OrderNumber_nunique,ProductID_nunique,SalesDate_min,SalesDate_max,SalesDate_count,TotalRevenue,TotalCost,TotalProfit,ProfitMargin,AvgOrderValue,AvgOrderQuantity,PriceVolatility,QuantityVolatility,CustomerLifetimeDays,AvgDaysBetweenOrders,OrderFrequency,ProductDiversity,AvgProductsPerOrder,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFMScore,CustomerLifetimeValue,CustomerLoyaltyScore,QuoteID_nunique,QuoteVersion_mean,QuoteVersion_max,UnitPrice_mean_y,UnitPrice_std_y,UnitPrice_min_y,UnitPrice_max_y,QuoteQty_sum,QuoteQty_mean,QuoteQty_std,QuoteStatus_<lambda>,ConvertedToOrderNumber_<lambda>,QuoteConversionRate,QuoteWinRate,AvgNegotiationRounds,QuotePriceVolatility,Cluster,Cluster_Numeric
CUST1026,4219.66,421.966,235.5774,10,409.07,151.09,948.45,2162.71,216.271,109.7222,243.915,2071,207.1,109.2748,245.5,40,336,2.3344,0.8933,1.61,3.7772,2.0384,1.0705,0.09,1.14,8,1,1/6/2022,6/19/2025,10,4219.66,2162.71,2056.95,0.487468185,527.4575,258.875,0.382667923,0.527642685,1260,157.5,2.315622522,1,0.125,81,8,4219.66,4,2,3,423,4219.66,411.6741463,15,1.1176,2,2.1745,0.7117,1.61,3.7772,3587.538,211.0316,94.3954,0.5882,12,0.8,0.5882,1.1176,0.327293631,Platinum,5
CUST1027,14540.64,807.8133,258.9107,18,901.44,198.67,1175.66,7259.4,403.3,109.8025,450.72,2340,130.0,35.227,144.0,36,144,6.1618,0.8661,4.5167,8.1643,6.26,3.105,0.1061,3.13,15,1,3/17/2022,8/26/2025,18,14540.64,7259.4,7281.24,0.500750999,969.376,156.0,0.140559577,0.270976923,1258,83.86666667,4.348689436,1,0.066666667,13,15,14540.64,5,3,4,534,14540.64,15579.25714,27,1.3571,2,6.7008,1.1631,4.5167,11.6803,5244.8796,124.8781,41.4117,0.4286,27,1.0,0.4286,1.3571,0.173576289,Platinum,5
CUST1028,682.39,227.4633,76.9367,3,265.69,138.9,277.8,356.88,118.96,39.1337,131.88,213,71.0,120.3786,2.0,1,210,93.0217,79.4635,1.2652,138.9,138.9,50.2093,42.9387,75.0,2,2,12/28/2022,6/27/2024,3,682.39,356.88,325.51,0.47701461,341.195,106.5,0.854246912,1.695473239,547,273.5,1.332116788,2,1.0,438,2,682.39,2,1,1,211,682.39,3.108838269,4,1.3333,2,103.0556,80.6982,1.2652,188.0786,426.0063,71.0011,107.669,0.5,5,1.25,0.5,1.3333,0.783054972,Diamond,4
CUST1029,5311.25,531.125,333.0455,10,581.01,100.0,1109.64,3423.04,342.304,267.9553,438.38,64,6.4,2.7968,6.0,4,12,77.1814,28.7883,25.0,105.565,92.47,46.738,29.7698,64.73,10,2,1/12/2022,10/28/2024,10,5311.25,3423.04,1888.21,0.355511414,531.125,6.4,0.372995307,0.437,1020,102.0,3.574926543,2,0.2,315,10,5311.25,3,3,3,333,5311.25,168.0775316,13,1.2778,2,82.2258,32.5294,25.0,129.3478,112.5073,6.2504,2.5081,0.5556,14,1.076923077,0.5556,1.2778,0.395610623,Platinum,5
CUST103,45701.72,73.4754,65.0052,622,60.585,0.45,999.9,22731.67,36.5461,28.1896,32.25,79817,128.3232,865.185,1.0,1,6480,52.8602,38.765,0.01,250.87,52.58,26.8783,19.19,27.2,241,54,1/6/2022,9/8/2025,622,45701.72,22731.67,22970.05,0.502607998,189.6336929,331.1908714,0.733349477,6.742233672,1341,5.564315353,65.54769001,54,0.22406639,0,241,45701.72,5,5,4,554,45701.72,11014114.52,886,1.2208,2,57.8684,42.0518,0.01,250.87,130910.0792,115.1364,818.1356,0.5471,792,0.893905192,0.5471,1.2208,0.726679846,Platinum,5
CUST1030,956.37,478.185,91.8461,2,478.185,413.24,543.13,588.61,294.305,80.5324,294.305,73,36.5,50.2046,36.5,1,72,210.3917,286.8708,7.5435,413.24,210.3917,177.2733,246.0402,177.2733,2,2,1/18/2023,1/18/2023,2,956.37,588.61,367.76,0.384537365,478.185,36.5,1.363508161,1.375468493,0,0.0,730.0,2,1.0,964,2,956.37,1,1,2,112,956.37,1.98211399,3,1.0,1,143.0077,234.0283,7.5435,413.24,134.1339,44.7113,38.243,0.6667,2,0.666666667,0.6667,1.0,1.636473421,Diamond,4
CUST1031,19849.02,1167.5894,947.0052,17,911.77,1.36,2939.66,14357.99,844.5876,562.5459,815.3,1226,72.1176,82.2936,50.0,10,370,19.7507,8.8669,0.1355,29.3966,18.2354,14.9248,5.582,17.05,5,2,3/23/2023,8/11/2025,17,19849.02,14357.99,5491.03,0.276639854,3969.804,245.2,0.44894105,1.141102865,872,174.4,2.090492554,2,0.4,28,5,19849.02,4,2,4,424,19849.02,3422.244828,24,1.3143,2,23.4546,9.38,0.1355,38.3772,2611.0637,74.6018,86.8309,0.4857,24,1.0,0.4857,1.3143,0.399921551,Platinum,5
CUST1032,157.68,157.68,0.0,1,157.68,157.68,157.68,95.81,95.81,0.0,95.81,12,12.0,0.0,12.0,12,12,13.14,0.0,13.14,13.14,13.14,7.9842,0.0,7.9842,1,1,9/1/2022,9/1/2022,1,157.68,95.81,61.87,0.392376966,157.68,12.0,0.0,0.0,0,0.0,365.0,1,1.0,1103,1,157.68,1,1,1,111,157.68,0.142826087,2,1.0,1,14.0211,1.2461,13.14,14.9022,25.0261,12.5131,0.7256,0.5,1,0.5,0.5,1.0,0.088873198,Diamond,4
CUST1033,1298.97,185.5671,96.7727,7,147.37,80.42,306.66,865.25,123.6071,56.6524,94.25,850,121.4286,79.6196,100.0,25,200,1.9948,1.048,1.2121,3.7844,1.4737,1.4771,1.111,0.92,5,2,1/28/2022,8/21/2023,7,1298.97,865.25,433.72,0.333895317,259.794,170.0,0.525365951,0.655690669,570,114.0,3.19614711,2,0.4,749,5,1298.97,2,2,2,222,1298.97,8.6598,10,1.2308,2,2.2176,1.2984,1.2121,5.146,1481.8848,113.9911,75.6639,0.5385,10,1.0,0.5385,1.2308,0.585497835,Diamond,4
CUST1034,838.14,167.628,103.8108,5,149.0,66.14,299.0,668.2,133.64,89.1664,102.0,5,1.0,0.0,1.0,1,1,167.628,103.8108,66.14,299.0,149.0,133.64,89.1664,102.0,3,4,12/3/2024,5/21/2025,5,838.14,668.2,169.94,0.202758489,279.38,1.666666667,0.61929272,0.0,169,56.33333333,6.441176471,4,1.333333333,110,3,838.14,3,1,2,312,838.14,22.65243243,9,1.4,2,203.7066,124.7038,66.14,441.1468,14.6681,0.9779,0.0748,0.3333,9,1.0,0.3333,1.4,0.612173587,Diamond,4
