Feature,Target,Pearson_Corr,Spearman_Corr,Abs_Pearson,Abs_Spearman,Avg_Abs_Corr
QuantityVolatility,ProfitMargin,0.007314778921783051,0.042698712752979005,0.007314778921783051,0.042698712752979005,0.02500674583738103
QuantityVolatility,TotalRevenue,0.1128893996770102,0.46751534027989605,0.1128893996770102,0.46751534027989605,0.2902023699784531
QuantityVolatility,CustomerID_nunique,0.2901704970221091,0.47513204545150195,0.2901704970221091,0.47513204545150195,0.38265127123680553
QuantityVolatility,SalesQty_sum,0.04819358969976693,0.542139080746377,0.04819358969976693,0.542139080746377,0.29516633522307195
QuantityVolatility,TotalProfit,0.04906342429025093,0.44926964774346523,0.04906342429025093,0.44926964774346523,0.24916653601685806
ExtPrice_sum,ProfitMargin,-0.00010760648646668768,-0.13524229792068845,0.00010760648646668768,0.13524229792068845,0.06767495220357757
ExtPrice_sum,TotalRevenue,1.0,1.0,1.0,1.0,1.0
ExtPrice_sum,CustomerID_nunique,0.0808829893850668,0.27374632077394184,0.0808829893850668,0.27374632077394184,0.17731465507950434
ExtPrice_sum,SalesQty_sum,0.3791686310360361,0.5680929805708631,0.3791686310360361,0.5680929805708631,0.47363080580344963
ExtPrice_sum,TotalProfit,0.42659319262922724,0.9208384545686369,0.42659319262922724,0.9208384545686369,0.673715823598932
ExtPrice_median,ProfitMargin,-0.000824985078833288,-0.1928312684898206,0.000824985078833288,0.1928312684898206,0.09682812678432695
ExtPrice_median,TotalRevenue,0.1518821520324582,0.6551089084315969,0.1518821520324582,0.6551089084315969,0.40349553023202755
ExtPrice_median,CustomerID_nunique,-0.028167302457716054,-0.11751496423927017,0.028167302457716054,0.11751496423927017,0.07284113334849311
ExtPrice_median,SalesQty_sum,0.009443082969614824,0.07932751148000533,0.009443082969614824,0.07932751148000533,0.04438529722481008
ExtPrice_median,TotalProfit,0.06182021273719608,0.5833844458992167,0.06182021273719608,0.5833844458992167,0.32260232931820637
UnitPrice_max_y,ProfitMargin,-0.0011978825171787449,-0.25049161356058225,0.0011978825171787449,0.25049161356058225,0.1258447480388805
UnitPrice_max_y,TotalRevenue,0.05887628307617876,0.21093547985567004,0.05887628307617876,0.21093547985567004,0.13490588146592442
UnitPrice_max_y,CustomerID_nunique,0.00709181479480237,-0.09976889481474994,0.00709181479480237,0.09976889481474994,0.053430354804776155
UnitPrice_max_y,SalesQty_sum,0.001015470773581623,-0.5854029802067705,0.001015470773581623,0.5854029802067705,0.2932092254901761
UnitPrice_max_y,TotalProfit,0.012972194284910216,0.18038714524323518,0.012972194284910216,0.18038714524323518,0.0966796697640727
QuoteVersion_max,ProfitMargin,0.007261153556077754,0.002870430435850551,0.007261153556077754,0.002870430435850551,0.005065791995964153
QuoteVersion_max,TotalRevenue,0.09492713968011449,0.3978069083006449,0.09492713968011449,0.3978069083006449,0.24636702399037969
QuoteVersion_max,CustomerID_nunique,0.17161408516404597,0.289172856805226,0.17161408516404597,0.289172856805226,0.23039347098463597
QuoteVersion_max,SalesQty_sum,0.03168922890374686,0.37680895536718206,0.03168922890374686,0.37680895536718206,0.20424909213546447
QuoteVersion_max,TotalProfit,0.04211609611745143,0.37909603215679966,0.04211609611745143,0.37909603215679966,0.21060606413712554
QuoteQty_std,ProfitMargin,-0.007175352974248806,0.10302068299259065,0.007175352974248806,0.10302068299259065,0.05509801798341973
QuoteQty_std,TotalRevenue,0.1259898106099353,0.5095840765157178,0.1259898106099353,0.5095840765157178,0.31778694356282655
QuoteQty_std,CustomerID_nunique,0.023255351683070604,0.3745012269887198,0.023255351683070604,0.3745012269887198,0.1988782893358952
QuoteQty_std,SalesQty_sum,0.29016220362543105,0.8019481000741109,0.29016220362543105,0.8019481000741109,0.5460551518497709
QuoteQty_std,TotalProfit,0.05667982083945512,0.48651183088815464,0.05667982083945512,0.48651183088815464,0.2715958258638049
PriceVolatility,ProfitMargin,0.004886163559043826,0.09625160532099296,0.004886163559043826,0.09625160532099296,0.05056888444001839
PriceVolatility,TotalRevenue,0.15268623084577404,0.401952274759441,0.15268623084577404,0.401952274759441,0.2773192528026075
PriceVolatility,CustomerID_nunique,0.2277466322201642,0.5006122066499368,0.2277466322201642,0.5006122066499368,0.3641794194350505
PriceVolatility,SalesQty_sum,0.1463251719028812,0.4499652426817436,0.1463251719028812,0.4499652426817436,0.2981452072923124
PriceVolatility,TotalProfit,0.07366717267438262,0.39234781272617164,0.07366717267438262,0.39234781272617164,0.23300749270027712
AvgDaysBetweenOrders,ProfitMargin,0.010258202673728876,0.06192961685163393,0.010258202673728876,0.06192961685163393,0.036093909762681405
AvgDaysBetweenOrders,TotalRevenue,-0.0659059527977675,0.22708562518268924,0.0659059527977675,0.22708562518268924,0.14649578899022836
AvgDaysBetweenOrders,CustomerID_nunique,-0.019913443136614264,0.3323396307807632,0.019913443136614264,0.3323396307807632,0.1761265369586887
AvgDaysBetweenOrders,SalesQty_sum,-0.029500767802914454,0.2828381419365085,0.029500767802914454,0.2828381419365085,0.15616945486971148
AvgDaysBetweenOrders,TotalProfit,-0.029237983657606405,0.22047294932855033,0.029237983657606405,0.22047294932855033,0.12485546649307837
SalesFrequency,ProfitMargin,-0.013127099259111359,-0.06270575871073165,0.013127099259111359,0.06270575871073165,0.03791642898492151
SalesFrequency,TotalRevenue,0.004465747489747364,-0.219595714505438,0.004465747489747364,0.219595714505438,0.11203073099759268
SalesFrequency,CustomerID_nunique,-0.1792690355427307,-0.32882830954637754,0.1792690355427307,0.32882830954637754,0.2540486725445541
SalesFrequency,SalesQty_sum,0.02651553611054039,-0.27600887641109095,0.02651553611054039,0.27600887641109095,0.15126220626081566
SalesFrequency,TotalProfit,-0.0001261828123983154,-0.21322423298370924,0.0001261828123983154,0.21322423298370924,0.10667520789805378
CustomerPenetration,ProfitMargin,0.009632710025145862,0.07707915557565545,0.009632710025145862,0.07707915557565545,0.043355932800400655
CustomerPenetration,TotalRevenue,0.08088298938506715,0.27374632077394184,0.08088298938506715,0.27374632077394184,0.1773146550795045
CustomerPenetration,CustomerID_nunique,1.0,0.9999999999999998,1.0,0.9999999999999998,0.9999999999999999
CustomerPenetration,SalesQty_sum,0.04490195514395026,0.3156608452688801,0.04490195514395026,0.3156608452688801,0.1802814002064152
CustomerPenetration,TotalProfit,0.038760488618702,0.2662374063201753,0.038760488618702,0.2662374063201753,0.15249894746943865
UnitsPerCustomer,ProfitMargin,-0.0012805785656782595,0.1105628646994977,0.0012805785656782595,0.1105628646994977,0.05592172163258798
UnitsPerCustomer,TotalRevenue,0.268732711821583,0.5305144690756609,0.268732711821583,0.5305144690756609,0.39962359044862195
UnitsPerCustomer,CustomerID_nunique,0.00943815414496436,0.14685214241811567,0.00943815414496436,0.14685214241811567,0.07814514828154001
